pbs_code,prescriber_code,prescriber_type,schedule_code
"11124L","N","Nurse Practitioners","4535"
"11125M","M","Medical Practitioners","4535"
"11125M","N","Nurse Practitioners","4535"
"11126N","M","Medical Practitioners","4535"
"11128Q","M","Medical Practitioners","4535"
"11129R","M","Medical Practitioners","4535"
"11129R","N","Nurse Practitioners","4535"
"11130T","M","Medical Practitioners","4535"
"11130T","N","Nurse Practitioners","4535"
"11131W","M","Medical Practitioners","4535"
"11131W","N","Nurse Practitioners","4535"
"11134B","M","Medical Practitioners","4535"
"11135C","M","Medical Practitioners","4535"
"11138F","M","Medical Practitioners","4535"
"11140H","M","Medical Practitioners","4535"
"11140H","N","Nurse Practitioners","4535"
"11141J","M","Medical Practitioners","4535"
"11142K","M","Medical Practitioners","4535"
"11142K","N","Nurse Practitioners","4535"
"11143L","M","Medical Practitioners","4535"
"11144M","M","Medical Practitioners","4535"
"11144M","N","Nurse Practitioners","4535"
"11145N","M","Medical Practitioners","4535"
"11145N","N","Nurse Practitioners","4535"
"11147Q","M","Medical Practitioners","4535"
"11147Q","N","Nurse Practitioners","4535"
"11149T","M","Medical Practitioners","4535"
"11149T","N","Nurse Practitioners","4535"
"11150W","M","Medical Practitioners","4535"
"11152Y","M","Medical Practitioners","4535"
"11153B","M","Medical Practitioners","4535"
"11155D","M","Medical Practitioners","4535"
"11155D","N","Nurse Practitioners","4535"
"11157F","M","Medical Practitioners","4535"
"11158G","M","Medical Practitioners","4535"
"11159H","M","Medical Practitioners","4535"
"1115Q","M","Medical Practitioners","4535"
"1115Q","N","Nurse Practitioners","4535"
"11160J","M","Medical Practitioners","4535"
"11161K","M","Medical Practitioners","4535"
"11161K","N","Nurse Practitioners","4535"
"11162L","M","Medical Practitioners","4535"
"11163M","M","Medical Practitioners","4535"
"11164N","M","Medical Practitioners","4535"
"11165P","M","Medical Practitioners","4535"
"11166Q","M","Medical Practitioners","4535"
"11167R","M","Medical Practitioners","4535"
"11168T","M","Medical Practitioners","4535"
"11169W","M","Medical Practitioners","4535"
"11169W","N","Nurse Practitioners","4535"
"11170X","M","Medical Practitioners","4535"
"11171Y","M","Medical Practitioners","4535"
"11172B","M","Medical Practitioners","4535"
"11173C","M","Medical Practitioners","4535"
"11174D","M","Medical Practitioners","4535"
"11175E","M","Medical Practitioners","4535"
"11176F","M","Medical Practitioners","4535"
"11177G","M","Medical Practitioners","4535"
"11178H","M","Medical Practitioners","4535"
"11179J","M","Medical Practitioners","4535"
"11180K","M","Medical Practitioners","4535"
"11180K","N","Nurse Practitioners","4535"
"11181L","M","Medical Practitioners","4535"
"11182M","M","Medical Practitioners","4535"
"11183N","M","Medical Practitioners","4535"
"11183N","N","Nurse Practitioners","4535"
"11184P","M","Medical Practitioners","4535"
"11184P","N","Nurse Practitioners","4535"
"11185Q","M","Medical Practitioners","4535"
"11185Q","N","Nurse Practitioners","4535"
"11186R","M","Medical Practitioners","4535"
"11186R","N","Nurse Practitioners","4535"
"11187T","M","Medical Practitioners","4535"
"11187T","N","Nurse Practitioners","4535"
"11188W","M","Medical Practitioners","4535"
"11188W","N","Nurse Practitioners","4535"
"11189X","M","Medical Practitioners","4535"
"11189X","N","Nurse Practitioners","4535"
"11190Y","M","Medical Practitioners","4535"
"11190Y","N","Nurse Practitioners","4535"
"11194E","M","Medical Practitioners","4535"
"11195F","M","Medical Practitioners","4535"
"11196G","M","Medical Practitioners","4535"
"11197H","M","Medical Practitioners","4535"
"11198J","M","Medical Practitioners","4535"
"11199K","M","Medical Practitioners","4535"
"1119X","M","Medical Practitioners","4535"
"1119X","N","Nurse Practitioners","4535"
"11200L","M","Medical Practitioners","4535"
"11200L","N","Nurse Practitioners","4535"
"11201M","M","Medical Practitioners","4535"
"11202N","M","Medical Practitioners","4535"
"11204Q","M","Medical Practitioners","4535"
"11205R","M","Medical Practitioners","4535"
"11205R","N","Nurse Practitioners","4535"
"11206T","M","Medical Practitioners","4535"
"11207W","M","Medical Practitioners","4535"
"11208X","M","Medical Practitioners","4535"
"11210B","M","Medical Practitioners","4535"
"11210B","N","Nurse Practitioners","4535"
"11211C","M","Medical Practitioners","4535"
"11212D","M","Medical Practitioners","4535"
"11213E","M","Medical Practitioners","4535"
"11215G","M","Medical Practitioners","4535"
"11216H","M","Medical Practitioners","4535"
"11217J","M","Medical Practitioners","4535"
"11218K","M","Medical Practitioners","4535"
"1121B","M","Medical Practitioners","4535"
"1121B","N","Nurse Practitioners","4535"
"11221N","M","Medical Practitioners","4535"
"11222P","M","Medical Practitioners","4535"
"11223Q","M","Medical Practitioners","4535"
"11224R","M","Medical Practitioners","4535"
"11225T","M","Medical Practitioners","4535"
"11226W","M","Medical Practitioners","4535"
"11227X","M","Medical Practitioners","4535"
"11227X","N","Nurse Practitioners","4535"
"11228Y","D","Dental","4535"
"11229B","M","Medical Practitioners","4535"
"11230C","M","Medical Practitioners","4535"
"11231D","M","Medical Practitioners","4535"
"11232E","M","Medical Practitioners","4535"
"11233F","M","Medical Practitioners","4535"
"11233F","N","Nurse Practitioners","4535"
"11233F","W","Midwives","4535"
"11234G","M","Medical Practitioners","4535"
"11235H","M","Medical Practitioners","4535"
"11236J","M","Medical Practitioners","4535"
"11237K","M","Medical Practitioners","4535"
"11238L","M","Medical Practitioners","4535"
"11239M","M","Medical Practitioners","4535"
"11240N","M","Medical Practitioners","4535"
"11241P","M","Medical Practitioners","4535"
"11242Q","M","Medical Practitioners","4535"
"11243R","M","Medical Practitioners","4535"
"11244T","M","Medical Practitioners","4535"
"11245W","M","Medical Practitioners","4535"
"11245W","N","Nurse Practitioners","4535"
"11247Y","M","Medical Practitioners","4535"
"11248B","M","Medical Practitioners","4535"
"11248B","N","Nurse Practitioners","4535"
"11249C","D","Dental","4535"
"11250D","M","Medical Practitioners","4535"
"11251E","M","Medical Practitioners","4535"
"11252F","M","Medical Practitioners","4535"
"11253G","M","Medical Practitioners","4535"
"11254H","M","Medical Practitioners","4535"
"11255J","M","Medical Practitioners","4535"
"11255J","N","Nurse Practitioners","4535"
"11256K","M","Medical Practitioners","4535"
"11257L","M","Medical Practitioners","4535"
"11258M","M","Medical Practitioners","4535"
"11259N","M","Medical Practitioners","4535"
"11260P","M","Medical Practitioners","4535"
"11261Q","M","Medical Practitioners","4535"
"11262R","M","Medical Practitioners","4535"
"11263T","M","Medical Practitioners","4535"
"11264W","M","Medical Practitioners","4535"
"11265X","M","Medical Practitioners","4535"
"11265X","N","Nurse Practitioners","4535"
"11266Y","M","Medical Practitioners","4535"
"11267B","M","Medical Practitioners","4535"
"11268C","M","Medical Practitioners","4535"
"11268C","N","Nurse Practitioners","4535"
"11269D","M","Medical Practitioners","4535"
"11269D","N","Nurse Practitioners","4535"
"11271F","M","Medical Practitioners","4535"
"11272G","M","Medical Practitioners","4535"
"11273H","M","Medical Practitioners","4535"
"11273H","N","Nurse Practitioners","4535"
"11275K","M","Medical Practitioners","4535"
"11275K","N","Nurse Practitioners","4535"
"11276L","M","Medical Practitioners","4535"
"11276L","N","Nurse Practitioners","4535"
"11277M","M","Medical Practitioners","4535"
"11278N","M","Medical Practitioners","4535"
"11279P","M","Medical Practitioners","4535"
"11279P","N","Nurse Practitioners","4535"
"11283W","M","Medical Practitioners","4535"
"11283W","N","Nurse Practitioners","4535"
"11284X","M","Medical Practitioners","4535"
"11286B","M","Medical Practitioners","4535"
"11286B","N","Nurse Practitioners","4535"
"11288D","M","Medical Practitioners","4535"
"11288D","N","Nurse Practitioners","4535"
"11289E","M","Medical Practitioners","4535"
"1128J","M","Medical Practitioners","4535"
"11290F","M","Medical Practitioners","4535"
"11290F","N","Nurse Practitioners","4535"
"11293J","M","Medical Practitioners","4535"
"11295L","M","Medical Practitioners","4535"
"11295L","N","Nurse Practitioners","4535"
"11296M","M","Medical Practitioners","4535"
"11296M","N","Nurse Practitioners","4535"
"11297N","M","Medical Practitioners","4535"
"11301T","M","Medical Practitioners","4535"
"11301T","N","Nurse Practitioners","4535"
"11302W","M","Medical Practitioners","4535"
"11302W","N","Nurse Practitioners","4535"
"11303X","M","Medical Practitioners","4535"
"11303X","N","Nurse Practitioners","4535"
"11304Y","M","Medical Practitioners","4535"
"11308E","M","Medical Practitioners","4535"
"11308E","N","Nurse Practitioners","4535"
"11309F","M","Medical Practitioners","4535"
"11315M","M","Medical Practitioners","4535"
"11316N","M","Medical Practitioners","4535"
"11317P","M","Medical Practitioners","4535"
"11318Q","M","Medical Practitioners","4535"
"11319R","M","Medical Practitioners","4535"
"1131M","M","Medical Practitioners","4535"
"11320T","M","Medical Practitioners","4535"
"11321W","M","Medical Practitioners","4535"
"11322X","M","Medical Practitioners","4535"
"11323Y","M","Medical Practitioners","4535"
"11324B","M","Medical Practitioners","4535"
"11325C","M","Medical Practitioners","4535"
"11326D","M","Medical Practitioners","4535"
"11327E","M","Medical Practitioners","4535"
"11327E","N","Nurse Practitioners","4535"
"11328F","M","Medical Practitioners","4535"
"11330H","M","Medical Practitioners","4535"
"11331J","M","Medical Practitioners","4535"
"11331J","N","Nurse Practitioners","4535"
"11332K","M","Medical Practitioners","4535"
"11332K","N","Nurse Practitioners","4535"
"11333L","M","Medical Practitioners","4535"
"11333L","N","Nurse Practitioners","4535"
"11334M","M","Medical Practitioners","4535"
"11335N","M","Medical Practitioners","4535"
"11336P","M","Medical Practitioners","4535"
"11337Q","M","Medical Practitioners","4535"
"11337Q","N","Nurse Practitioners","4535"
"11338R","M","Medical Practitioners","4535"
"11338R","N","Nurse Practitioners","4535"
"11339T","M","Medical Practitioners","4535"
"11340W","M","Medical Practitioners","4535"
"11340W","N","Nurse Practitioners","4535"
"11341X","M","Medical Practitioners","4535"
"11343B","M","Medical Practitioners","4535"
"11343B","N","Nurse Practitioners","4535"
"11344C","M","Medical Practitioners","4535"
"11344C","N","Nurse Practitioners","4535"
"11345D","M","Medical Practitioners","4535"
"11345D","N","Nurse Practitioners","4535"
"11346E","M","Medical Practitioners","4535"
"11346E","N","Nurse Practitioners","4535"
"11347F","M","Medical Practitioners","4535"
"11348G","M","Medical Practitioners","4535"
"11349H","M","Medical Practitioners","4535"
"11350J","M","Medical Practitioners","4535"
"11350J","N","Nurse Practitioners","4535"
"11351K","M","Medical Practitioners","4535"
"11351K","N","Nurse Practitioners","4535"
"11352L","M","Medical Practitioners","4535"
"11353M","M","Medical Practitioners","4535"
"11353M","N","Nurse Practitioners","4535"
"11354N","M","Medical Practitioners","4535"
"11354N","N","Nurse Practitioners","4535"
"11355P","M","Medical Practitioners","4535"
"11355P","N","Nurse Practitioners","4535"
"11356Q","M","Medical Practitioners","4535"
"11357R","M","Medical Practitioners","4535"
"11357R","N","Nurse Practitioners","4535"
"11358T","M","Medical Practitioners","4535"
"11358T","N","Nurse Practitioners","4535"
"11359W","M","Medical Practitioners","4535"
"11360X","M","Medical Practitioners","4535"
"11361Y","M","Medical Practitioners","4535"
"11362B","M","Medical Practitioners","4535"
"11363C","M","Medical Practitioners","4535"
"11364D","M","Medical Practitioners","4535"
"11364D","N","Nurse Practitioners","4535"
"11365E","M","Medical Practitioners","4535"
"11366F","D","Dental","4535"
"11367G","M","Medical Practitioners","4535"
"11368H","M","Medical Practitioners","4535"
"11369J","M","Medical Practitioners","4535"
"11371L","M","Medical Practitioners","4535"
"11372M","M","Medical Practitioners","4535"
"11373N","M","Medical Practitioners","4535"
"11374P","M","Medical Practitioners","4535"
"11375Q","M","Medical Practitioners","4535"
"11376R","M","Medical Practitioners","4535"
"11377T","M","Medical Practitioners","4535"
"11378W","M","Medical Practitioners","4535"
"11379X","M","Medical Practitioners","4535"
"11379X","N","Nurse Practitioners","4535"
"11380Y","M","Medical Practitioners","4535"
"11380Y","N","Nurse Practitioners","4535"
"11380Y","W","Midwives","4535"
"11381B","M","Medical Practitioners","4535"
"11382C","M","Medical Practitioners","4535"
"11383D","M","Medical Practitioners","4535"
"11384E","M","Medical Practitioners","4535"
"11385F","M","Medical Practitioners","4535"
"11386G","M","Medical Practitioners","4535"
"11389K","M","Medical Practitioners","4535"
"11391M","M","Medical Practitioners","4535"
"11392N","M","Medical Practitioners","4535"
"11393P","M","Medical Practitioners","4535"
"11394Q","M","Medical Practitioners","4535"
"11395R","M","Medical Practitioners","4535"
"11396T","M","Medical Practitioners","4535"
"11397W","M","Medical Practitioners","4535"
"11399Y","M","Medical Practitioners","4535"
"113Y","M","Medical Practitioners","4535"
"11400B","M","Medical Practitioners","4535"
"11401C","M","Medical Practitioners","4535"
"11402D","M","Medical Practitioners","4535"
"11403E","M","Medical Practitioners","4535"
"11404F","M","Medical Practitioners","4535"
"11406H","M","Medical Practitioners","4535"
"11406H","N","Nurse Practitioners","4535"
"11407J","M","Medical Practitioners","4535"
"11407J","N","Nurse Practitioners","4535"
"11409L","M","Medical Practitioners","4535"
"11409L","N","Nurse Practitioners","4535"
"11410M","M","Medical Practitioners","4535"
"11410M","N","Nurse Practitioners","4535"
"11411N","M","Medical Practitioners","4535"
"11412P","M","Medical Practitioners","4535"
"11414R","M","Medical Practitioners","4535"
"11415T","M","Medical Practitioners","4535"
"11416W","M","Medical Practitioners","4535"
"11416W","N","Nurse Practitioners","4535"
"11418Y","M","Medical Practitioners","4535"
"11418Y","N","Nurse Practitioners","4535"
"11419B","M","Medical Practitioners","4535"
"11422E","M","Medical Practitioners","4535"
"11423F","M","Medical Practitioners","4535"
"11424G","M","Medical Practitioners","4535"
"11425H","M","Medical Practitioners","4535"
"11426J","M","Medical Practitioners","4535"
"11426J","N","Nurse Practitioners","4535"
"11428L","M","Medical Practitioners","4535"
"11428L","N","Nurse Practitioners","4535"
"11429M","M","Medical Practitioners","4535"
"11429M","N","Nurse Practitioners","4535"
"11430N","M","Medical Practitioners","4535"
"11431P","M","Medical Practitioners","4535"
"11432Q","M","Medical Practitioners","4535"
"11433R","M","Medical Practitioners","4535"
"11434T","M","Medical Practitioners","4535"
"11435W","M","Medical Practitioners","4535"
"11436X","M","Medical Practitioners","4535"
"11437Y","M","Medical Practitioners","4535"
"11439C","O","Optometrist","4535"
"11440D","M","Medical Practitioners","4535"
"11440D","N","Nurse Practitioners","4535"
"11441E","M","Medical Practitioners","4535"
"11441E","N","Nurse Practitioners","4535"
"11442F","M","Medical Practitioners","4535"
"11443G","M","Medical Practitioners","4535"
"11445J","M","Medical Practitioners","4535"
"11446K","M","Medical Practitioners","4535"
"11446K","N","Nurse Practitioners","4535"
"11447L","M","Medical Practitioners","4535"
"11448M","M","Medical Practitioners","4535"
"11449N","M","Medical Practitioners","4535"
"11450P","M","Medical Practitioners","4535"
"11451Q","M","Medical Practitioners","4535"
"11451Q","N","Nurse Practitioners","4535"
"11452R","M","Medical Practitioners","4535"
"11452R","N","Nurse Practitioners","4535"
"11453T","M","Medical Practitioners","4535"
"11454W","M","Medical Practitioners","4535"
"11455X","M","Medical Practitioners","4535"
"11456Y","M","Medical Practitioners","4535"
"11457B","M","Medical Practitioners","4535"
"11458C","M","Medical Practitioners","4535"
"11459D","M","Medical Practitioners","4535"
"11460E","M","Medical Practitioners","4535"
"11461F","M","Medical Practitioners","4535"
"11462G","M","Medical Practitioners","4535"
"11463H","M","Medical Practitioners","4535"
"11464J","M","Medical Practitioners","4535"
"11465K","M","Medical Practitioners","4535"
"11466L","M","Medical Practitioners","4535"
"11468N","M","Medical Practitioners","4535"
"11469P","M","Medical Practitioners","4535"
"11471R","M","Medical Practitioners","4535"
"11472T","M","Medical Practitioners","4535"
"11473W","M","Medical Practitioners","4535"
"11475Y","M","Medical Practitioners","4535"
"11476B","M","Medical Practitioners","4535"
"11477C","M","Medical Practitioners","4535"
"11480F","M","Medical Practitioners","4535"
"11482H","M","Medical Practitioners","4535"
"11483J","M","Medical Practitioners","4535"
"11484K","M","Medical Practitioners","4535"
"11484K","N","Nurse Practitioners","4535"
"11486M","M","Medical Practitioners","4535"
"11488P","M","Medical Practitioners","4535"
"11489Q","M","Medical Practitioners","4535"
"11490R","M","Medical Practitioners","4535"
"11492W","M","Medical Practitioners","4535"
"11493X","M","Medical Practitioners","4535"
"11494Y","M","Medical Practitioners","4535"
"11495B","M","Medical Practitioners","4535"
"11496C","M","Medical Practitioners","4535"
"11497D","M","Medical Practitioners","4535"
"11498E","M","Medical Practitioners","4535"
"11499F","M","Medical Practitioners","4535"
"11500G","M","Medical Practitioners","4535"
"11501H","M","Medical Practitioners","4535"
"11502J","M","Medical Practitioners","4535"
"11503K","M","Medical Practitioners","4535"
"11505M","M","Medical Practitioners","4535"
"11506N","M","Medical Practitioners","4535"
"11507P","M","Medical Practitioners","4535"
"11510T","M","Medical Practitioners","4535"
"11511W","M","Medical Practitioners","4535"
"11512X","M","Medical Practitioners","4535"
"11513Y","M","Medical Practitioners","4535"
"11514B","M","Medical Practitioners","4535"
"11515C","M","Medical Practitioners","4535"
"11516D","M","Medical Practitioners","4535"
"11518F","M","Medical Practitioners","4535"
"11519G","M","Medical Practitioners","4535"
"11520H","M","Medical Practitioners","4535"
"11520H","N","Nurse Practitioners","4535"
"11521J","M","Medical Practitioners","4535"
"11522K","M","Medical Practitioners","4535"
"11524M","M","Medical Practitioners","4535"
"11527Q","M","Medical Practitioners","4535"
"11528R","M","Medical Practitioners","4535"
"11531X","M","Medical Practitioners","4535"
"11532Y","M","Medical Practitioners","4535"
"11533B","M","Medical Practitioners","4535"
"11534C","M","Medical Practitioners","4535"
"11535D","M","Medical Practitioners","4535"
"11536E","M","Medical Practitioners","4535"
"11537F","M","Medical Practitioners","4535"
"11538G","M","Medical Practitioners","4535"
"11539H","M","Medical Practitioners","4535"
"1153Q","M","Medical Practitioners","4535"
"1153Q","N","Nurse Practitioners","4535"
"11540J","M","Medical Practitioners","4535"
"11540J","N","Nurse Practitioners","4535"
"11543M","M","Medical Practitioners","4535"
"11545P","M","Medical Practitioners","4535"
"11546Q","M","Medical Practitioners","4535"
"11547R","M","Medical Practitioners","4535"
"11548T","M","Medical Practitioners","4535"
"11552B","M","Medical Practitioners","4535"
"11553C","M","Medical Practitioners","4535"
"11554D","M","Medical Practitioners","4535"
"11554D","N","Nurse Practitioners","4535"
"11555E","M","Medical Practitioners","4535"
"11556F","M","Medical Practitioners","4535"
"11557G","M","Medical Practitioners","4535"
"11558H","M","Medical Practitioners","4535"
"11559J","M","Medical Practitioners","4535"
"11559J","N","Nurse Practitioners","4535"
"11560K","M","Medical Practitioners","4535"
"11565Q","M","Medical Practitioners","4535"
"11567T","M","Medical Practitioners","4535"
"11588X","M","Medical Practitioners","4535"
"11589Y","M","Medical Practitioners","4535"
"11590B","M","Medical Practitioners","4535"
"11591C","M","Medical Practitioners","4535"
"11592D","M","Medical Practitioners","4535"
"11593E","M","Medical Practitioners","4535"
"11594F","M","Medical Practitioners","4535"
"11595G","M","Medical Practitioners","4535"
"11596H","M","Medical Practitioners","4535"
"11597J","M","Medical Practitioners","4535"
"11598K","M","Medical Practitioners","4535"
"11599L","M","Medical Practitioners","4535"
"11600M","M","Medical Practitioners","4535"
"11602P","M","Medical Practitioners","4535"
"11603Q","M","Medical Practitioners","4535"
"11603Q","N","Nurse Practitioners","4535"
"11604R","M","Medical Practitioners","4535"
"11604R","N","Nurse Practitioners","4535"
"11605T","M","Medical Practitioners","4535"
"11606W","M","Medical Practitioners","4535"
"11607X","M","Medical Practitioners","4535"
"11608Y","M","Medical Practitioners","4535"
"11611D","M","Medical Practitioners","4535"
"11611D","N","Nurse Practitioners","4535"
"11613F","M","Medical Practitioners","4535"
"11614G","M","Medical Practitioners","4535"
"11615H","M","Medical Practitioners","4535"
"11615H","N","Nurse Practitioners","4535"
"11616J","M","Medical Practitioners","4535"
"11620N","M","Medical Practitioners","4535"
"11621P","M","Medical Practitioners","4535"
"11621P","N","Nurse Practitioners","4535"
"11622Q","M","Medical Practitioners","4535"
"11623R","M","Medical Practitioners","4535"
"11625W","M","Medical Practitioners","4535"
"11625W","N","Nurse Practitioners","4535"
"11626X","M","Medical Practitioners","4535"
"11627Y","M","Medical Practitioners","4535"
"11628B","M","Medical Practitioners","4535"
"11629C","M","Medical Practitioners","4535"
"11629C","N","Nurse Practitioners","4535"
"11630D","M","Medical Practitioners","4535"
"11632F","M","Medical Practitioners","4535"
"11633G","M","Medical Practitioners","4535"
"11633G","N","Nurse Practitioners","4535"
"11634H","O","Optometrist","4535"
"11636K","M","Medical Practitioners","4535"
"11638M","M","Medical Practitioners","4535"
"11639N","M","Medical Practitioners","4535"
"1163F","M","Medical Practitioners","4535"
"11640P","M","Medical Practitioners","4535"
"11640P","N","Nurse Practitioners","4535"
"11642R","M","Medical Practitioners","4535"
"11644W","M","Medical Practitioners","4535"
"11645X","M","Medical Practitioners","4535"
"11645X","N","Nurse Practitioners","4535"
"11646Y","M","Medical Practitioners","4535"
"11648C","M","Medical Practitioners","4535"
"11649D","M","Medical Practitioners","4535"
"11649D","N","Nurse Practitioners","4535"
"11651F","M","Medical Practitioners","4535"
"11656L","M","Medical Practitioners","4535"
"11656L","N","Nurse Practitioners","4535"
"11658N","M","Medical Practitioners","4535"
"11658N","N","Nurse Practitioners","4535"
"11659P","M","Medical Practitioners","4535"
"11659P","N","Nurse Practitioners","4535"
"1165H","M","Medical Practitioners","4535"
"1165H","N","Nurse Practitioners","4535"
"11660Q","M","Medical Practitioners","4535"
"11661R","M","Medical Practitioners","4535"
"11662T","M","Medical Practitioners","4535"
"11662T","N","Nurse Practitioners","4535"
"11664X","M","Medical Practitioners","4535"
"11665Y","M","Medical Practitioners","4535"
"11665Y","N","Nurse Practitioners","4535"
"11666B","M","Medical Practitioners","4535"
"11666B","N","Nurse Practitioners","4535"
"11667C","M","Medical Practitioners","4535"
"11668D","M","Medical Practitioners","4535"
"11669E","M","Medical Practitioners","4535"
"11669E","N","Nurse Practitioners","4535"
"1166J","M","Medical Practitioners","4535"
"1166J","N","Nurse Practitioners","4535"
"11670F","M","Medical Practitioners","4535"
"11670F","N","Nurse Practitioners","4535"
"11671G","M","Medical Practitioners","4535"
"11672H","M","Medical Practitioners","4535"
"11673J","M","Medical Practitioners","4535"
"11675L","M","Medical Practitioners","4535"
"11676M","M","Medical Practitioners","4535"
"11677N","M","Medical Practitioners","4535"
"11677N","N","Nurse Practitioners","4535"
"11678P","M","Medical Practitioners","4535"
"11678P","N","Nurse Practitioners","4535"
"11679Q","M","Medical Practitioners","4535"
"11680R","M","Medical Practitioners","4535"
"11681T","M","Medical Practitioners","4535"
"11681T","N","Nurse Practitioners","4535"
"11682W","M","Medical Practitioners","4535"
"11682W","N","Nurse Practitioners","4535"
"11683X","M","Medical Practitioners","4535"
"11683X","N","Nurse Practitioners","4535"
"11684Y","M","Medical Practitioners","4535"
"11685B","M","Medical Practitioners","4535"
"11687D","M","Medical Practitioners","4535"
"11687D","N","Nurse Practitioners","4535"
"11688E","M","Medical Practitioners","4535"
"11690G","M","Medical Practitioners","4535"
"11691H","M","Medical Practitioners","4535"
"11691H","N","Nurse Practitioners","4535"
"11692J","M","Medical Practitioners","4535"
"11692J","N","Nurse Practitioners","4535"
"11693K","M","Medical Practitioners","4535"
"11694L","M","Medical Practitioners","4535"
"11694L","N","Nurse Practitioners","4535"
"11695M","M","Medical Practitioners","4535"
"11696N","M","Medical Practitioners","4535"
"11697P","M","Medical Practitioners","4535"
"11697P","N","Nurse Practitioners","4535"
"1169M","M","Medical Practitioners","4535"
"11702X","M","Medical Practitioners","4535"
"11702X","N","Nurse Practitioners","4535"
"11702X","W","Midwives","4535"
"11703Y","M","Medical Practitioners","4535"
"11703Y","N","Nurse Practitioners","4535"
"11707E","M","Medical Practitioners","4535"
"11708F","M","Medical Practitioners","4535"
"11709G","M","Medical Practitioners","4535"
"11710H","M","Medical Practitioners","4535"
"11711J","M","Medical Practitioners","4535"
"11712K","M","Medical Practitioners","4535"
"11714M","M","Medical Practitioners","4535"
"11715N","M","Medical Practitioners","4535"
"11716P","M","Medical Practitioners","4535"
"11716P","N","Nurse Practitioners","4535"
"11717Q","M","Medical Practitioners","4535"
"11718R","M","Medical Practitioners","4535"
"11719T","M","Medical Practitioners","4535"
"11719T","N","Nurse Practitioners","4535"
"11720W","M","Medical Practitioners","4535"
"11721X","M","Medical Practitioners","4535"
"11722Y","M","Medical Practitioners","4535"
"11723B","M","Medical Practitioners","4535"
"11723B","N","Nurse Practitioners","4535"
"11724C","M","Medical Practitioners","4535"
"11725D","M","Medical Practitioners","4535"
"11726E","M","Medical Practitioners","4535"
"11726E","N","Nurse Practitioners","4535"
"11729H","M","Medical Practitioners","4535"
"11729H","N","Nurse Practitioners","4535"
"11730J","M","Medical Practitioners","4535"
"11732L","M","Medical Practitioners","4535"
"11732L","N","Nurse Practitioners","4535"
"11734N","M","Medical Practitioners","4535"
"11735P","D","Dental","4535"
"11736Q","M","Medical Practitioners","4535"
"11740X","M","Medical Practitioners","4535"
"11740X","N","Nurse Practitioners","4535"
"11741Y","M","Medical Practitioners","4535"
"11742B","M","Medical Practitioners","4535"
"11743C","M","Medical Practitioners","4535"
"11744D","M","Medical Practitioners","4535"
"11747G","M","Medical Practitioners","4535"
"11748H","M","Medical Practitioners","4535"
"11750K","M","Medical Practitioners","4535"
"11751L","M","Medical Practitioners","4535"
"11752M","M","Medical Practitioners","4535"
"11753N","M","Medical Practitioners","4535"
"11755Q","M","Medical Practitioners","4535"
"11755Q","N","Nurse Practitioners","4535"
"11756R","M","Medical Practitioners","4535"
"11757T","M","Medical Practitioners","4535"
"11758W","M","Medical Practitioners","4535"
"11760Y","M","Medical Practitioners","4535"
"11760Y","N","Nurse Practitioners","4535"
"11761B","M","Medical Practitioners","4535"
"11761B","N","Nurse Practitioners","4535"
"11762C","M","Medical Practitioners","4535"
"11763D","M","Medical Practitioners","4535"
"11764E","M","Medical Practitioners","4535"
"11765F","M","Medical Practitioners","4535"
"11769K","M","Medical Practitioners","4535"
"11770L","M","Medical Practitioners","4535"
"11771M","M","Medical Practitioners","4535"
"11772N","M","Medical Practitioners","4535"
"11775R","M","Medical Practitioners","4535"
"11776T","M","Medical Practitioners","4535"
"11777W","M","Medical Practitioners","4535"
"11778X","M","Medical Practitioners","4535"
"11779Y","M","Medical Practitioners","4535"
"11780B","M","Medical Practitioners","4535"
"11781C","M","Medical Practitioners","4535"
"11782D","M","Medical Practitioners","4535"
"11783E","M","Medical Practitioners","4535"
"11784F","M","Medical Practitioners","4535"
"11785G","M","Medical Practitioners","4535"
"11786H","M","Medical Practitioners","4535"
"11787J","M","Medical Practitioners","4535"
"11788K","M","Medical Practitioners","4535"
"11789L","M","Medical Practitioners","4535"
"11792P","M","Medical Practitioners","4535"
"11793Q","M","Medical Practitioners","4535"
"11794R","M","Medical Practitioners","4535"
"11795T","M","Medical Practitioners","4535"
"11796W","M","Medical Practitioners","4535"
"11797X","M","Medical Practitioners","4535"
"117E","M","Medical Practitioners","4535"
"11801D","M","Medical Practitioners","4535"
"11802E","M","Medical Practitioners","4535"
"11806J","M","Medical Practitioners","4535"
"11807K","M","Medical Practitioners","4535"
"11808L","M","Medical Practitioners","4535"
"1180D","M","Medical Practitioners","4535"
"1180D","N","Nurse Practitioners","4535"
"11812Q","M","Medical Practitioners","4535"
"11815W","M","Medical Practitioners","4535"
"11815W","N","Nurse Practitioners","4535"
"11816X","D","Dental","4535"
"11817Y","M","Medical Practitioners","4535"
"11817Y","N","Nurse Practitioners","4535"
"11817Y","W","Midwives","4535"
"11818B","M","Medical Practitioners","4535"
"11818B","N","Nurse Practitioners","4535"
"11819C","M","Medical Practitioners","4535"
"11820D","M","Medical Practitioners","4535"
"11821E","M","Medical Practitioners","4535"
"11822F","M","Medical Practitioners","4535"
"11822F","N","Nurse Practitioners","4535"
"11823G","M","Medical Practitioners","4535"
"11824H","M","Medical Practitioners","4535"
"11825J","M","Medical Practitioners","4535"
